longitud,anchura,densidad,asimetria,tipo
5.763,3.312,0.871,2.221,kama
5.553999999999999,3.333,0.8811,1.018,kama
5.291,3.3369999999999997,0.905,2.699,kama
5.324,3.3789999999999996,0.8955,2.259,kama
5.6579999999999995,3.562,0.9034,1.355,kama
5.386,3.312,0.8951,2.4619999999999997,kama
5.563,3.259,0.8799,3.5860000000000003,kama
5.42,3.302,0.8911,2.7,kama
6.053,3.465,0.8747,2.04,kama
5.8839999999999995,3.505,0.888,1.969,kama
5.7139999999999995,3.242,0.8696,4.543,kama
5.438,3.201,0.8796,1.7169999999999999,kama
5.439,3.199,0.888,3.986,kama
5.479,3.156,0.8759,3.136,kama
5.482,3.114,0.8744,2.932,kama
5.351,3.333,0.8993,4.185,kama
5.119,3.383,0.9183,5.234,kama
5.527,3.514,0.9058,1.599,kama
5.205,3.466,0.9153,1.767,kama
5.226,3.049,0.8686,4.102,kama
5.6579999999999995,3.1289999999999996,0.8584,3.072,kama
5.52,3.168,0.8722,2.688,kama
5.617999999999999,3.5069999999999997,0.8988,0.7651,kama
5.099,2.9360000000000004,0.8664,1.415,kama
5.789,3.245,0.8657,1.791,kama
5.832999999999999,3.4210000000000003,0.8849,0.903,kama
5.395,3.0260000000000002,0.8641,3.373,kama
5.395,2.9560000000000004,0.8564,2.504,kama
5.541,3.221,0.882,2.7539999999999996,kama
5.516,3.065,0.8604,3.531,kama
5.454,2.975,0.8662,0.8551,kama
5.757000000000001,3.3710000000000004,0.8724,3.412,kama
5.7170000000000005,3.1860000000000004,0.8529,3.92,kama
5.585,3.15,0.8728,2.124,kama
5.712000000000001,3.3280000000000003,0.8779,2.129,kama
5.709,3.485,0.9,2.27,kama
5.8260000000000005,3.464,0.8734,2.823,kama
5.832000000000001,3.6830000000000003,0.9079,2.9560000000000004,kama
5.656000000000001,3.2880000000000003,0.8823,3.112,kama
5.397,3.298,0.8944,6.685,kama
5.348,3.156,0.8871,2.5869999999999997,kama
5.351,3.158,0.8852,2.249,kama
5.138,3.201,0.9009,2.461,kama
5.877000000000001,3.3960000000000004,0.882,4.711,kama
5.579,3.4619999999999997,0.8986,3.128,kama
5.376,3.155,0.8794,1.56,kama
5.7010000000000005,3.3930000000000002,0.8861,1.367,kama
5.57,3.377,0.8883,2.958,kama
5.545,3.2910000000000004,0.8819,2.7039999999999997,kama
5.678,3.258,0.8676,2.129,kama
5.585,3.272,0.8751,3.975,kama
5.6739999999999995,3.4339999999999997,0.8923,5.593,kama
5.715,3.113,0.8538,4.1160000000000005,kama
5.504,3.199,0.8831,3.3280000000000003,kama
5.7410000000000005,3.113,0.8557,1.4809999999999999,kama
5.702000000000001,3.2119999999999997,0.8658,1.933,kama
5.388,3.377,0.8818,2.802,kama
5.3839999999999995,3.412,0.9006,1.1420000000000001,kama
5.662000000000001,3.4189999999999996,0.8857,1.999,kama
5.159,3.032,0.8392,1.5019999999999998,kama
5.008,2.85,0.8683,2.7,kama
4.902,2.8789999999999996,0.884,2.269,kama
5.0760000000000005,3.042,0.8923,3.22,kama
5.395,3.07,0.868,4.157,kama
5.2620000000000005,3.0260000000000002,0.8716,1.176,kama
5.138999999999999,3.1189999999999998,0.8879,2.352,kama
5.63,3.19,0.8726,1.3130000000000002,kama
5.609,3.158,0.8625,2.217,kama
5.569,3.153,0.8726,1.464,kama
5.412000000000001,2.8819999999999997,0.8458,3.533,kama
6.191,3.5610000000000004,0.8673,4.0760000000000005,rosa
5.997999999999999,3.484,0.8623,4.675,rosa
5.978,3.594,0.8763,4.539,rosa
