title,genres,popularity,release_date
Ariel,Drama|Crime,0.8239040000000001,21/10/1988
Four Rooms,Crime|Comedy,1.6980000000000002,25/12/1995
Judgment Night,Action|Thriller|Crime,1.32287,15/10/1993
Star Wars,Adventure|Action|Science Fiction,10.492614,25/05/1977
Finding Nemo,Animation|Family,9.915573,30/05/2003
Forrest Gump,Comedy|Drama|Romance,10.351236,06/07/1994
American Beauty,Drama,8.191009,15/09/1999
Citizen Kane,Mystery|Drama,3.82689,30/04/1941
Dancer in the Dark,Drama|Crime|Music,2.106217,17/05/2000
The Dark,Horror|Thriller|Mystery,1.253999,26/01/2006
The Fifth Element,Adventure|Fantasy|Action|Thriller|Science Fiction,9.233786,07/05/1997
Metropolis,Drama|Science Fiction,3.669986,10/01/1927
My Life Without Me,Drama|Romance,0.9114620000000001,07/03/2003
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,28.769026,09/07/2003
Kill Bill: Vol. 1,Action|Crime,7.891837,10/10/2003
Jarhead,Drama|War,2.41718,04/11/2005
9 Songs,Drama|Music|Romance,2.9397279999999997,16/07/2004
Apocalypse Now,Drama|War,7.620077,15/08/1979
Magnetic Rose,Animation|Science Fiction,0.811221,23/12/1995
Stink Bomb,Action|Animation|Comedy,1.281042,23/12/1995
Cannon Fodder,Animation|History,0.838219,23/12/1995
Unforgiven,Western,3.176169,07/08/1992
The Simpsons Movie,Animation|Comedy|Family,4.864033999999999,25/07/2007
Eternal Sunshine of the Spotless Mind,Science Fiction|Drama|Romance,7.056735000000001,19/03/2004
Amores perros,Drama|Thriller,2.400763,16/06/2000
Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,10.493411,20/06/2006
A History of Violence,Drama|Thriller|Crime,2.608147,23/09/2005
2001: A Space Odyssey,Science Fiction|Mystery|Adventure,7.916619,05/04/1968
Twelve Monkeys,Science Fiction|Thriller|Mystery,5.554498000000001,29/12/1995
Talk to Her,Drama|Romance,1.854669,14/03/2002
8 Mile,Drama,2.8782360000000002,08/11/2002
Absolute Power,Crime|Drama|Thriller,1.731916,14/02/1997
Brazil,Comedy|Science Fiction,4.740891,20/02/1985
Walk the Line,Drama|Music|Romance,2.099303,13/09/2005
Million Dollar Baby,Drama,4.499157,15/12/2004
Billy Elliot,Drama|Comedy|Music,2.346058,18/05/2000
American History X,Drama,7.129597,30/10/1998
War of the Worlds,Adventure|Thriller|Science Fiction,5.685105,23/06/2005
Mars Attacks!,Comedy|Fantasy|Science Fiction,3.0361990000000003,12/12/1996
Before Sunrise,Drama|Romance,2.848941,27/01/1995
Memento,Mystery|Thriller,7.983032000000001,11/10/2000
Blade Runner,Science Fiction|Drama|Thriller,7.3468539999999996,25/06/1982
Hero,Drama|Adventure|Action|History,3.35901,19/12/2002
Before Sunset,Drama|Romance,1.4909299999999999,10/02/2004
Nausicaä of the Valley of the Wind,Adventure|Animation|Fantasy,2.448449,11/03/1984
