Juhamatti Tapio Aaltonen,M,28.0,2014,Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,28.0,1948,Gymnastics,Bronze
Paavo Johannes Aaltonen,M,28.0,1948,Gymnastics,Gold
Paavo Johannes Aaltonen,M,28.0,1948,Gymnastics,Gold
Paavo Johannes Aaltonen,M,28.0,1948,Gymnastics,Gold
Paavo Johannes Aaltonen,M,32.0,1952,Gymnastics,Bronze
Kjetil Andr Aamodt,M,20.0,1992,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,20.0,1992,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,22.0,1994,Alpine Skiing,Silver
Kjetil Andr Aamodt,M,22.0,1994,Alpine Skiing,Bronze
Kjetil Andr Aamodt,M,22.0,1994,Alpine Skiing,Silver
Kjetil Andr Aamodt,M,30.0,2002,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,30.0,2002,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,2006,Alpine Skiing,Gold
Pepijn Aardewijn,M,26.0,1996,Rowing,Silver
Ann Kristin Aarnes,F,23.0,1996,Football,Bronze
Giovanni Abagnale,M,21.0,2016,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,2008,Fencing,Bronze
Patimat Abakarova,F,21.0,2016,Taekwondo,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,2008,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,2008,Canoeing,Gold
Luc Abalo,M,23.0,2008,Handball,Gold
Luc Abalo,M,27.0,2012,Handball,Gold
Luc Abalo,M,31.0,2016,Handball,Silver
Jouan Patrice Abanda Etong,M,22.0,2000,Football,Gold
Jos Mara Abarca Plotas,M,22.0,1996,Water Polo,Gold
Stephen Anthony Abas,M,26.0,2004,Wrestling,Silver
Alejandro Abascal Garca,M,28.0,1980,Sailing,Gold
Jos Manuel Abascal Gmez,M,26.0,1984,Athletics,Bronze
Tamila Rashidovna Abasova,F,21.0,2004,Cycling,Silver
Jol Marc Abati,M,38.0,2008,Handball,Gold
Pter Abay,M,30.0,1992,Fencing,Silver
Agostino Abbagnale,M,22.0,1988,Rowing,Gold
Agostino Abbagnale,M,29.0,1996,Rowing,Gold
Agostino Abbagnale,M,34.0,2000,Rowing,Gold
Carmine Abbagnale,M,22.0,1984,Rowing,Gold
Carmine Abbagnale,M,26.0,1988,Rowing,Gold
Carmine Abbagnale,M,30.0,1992,Rowing,Silver
Giuseppe Abbagnale,M,25.0,1984,Rowing,Gold
Giuseppe Abbagnale,M,29.0,1988,Rowing,Gold
Giuseppe Abbagnale,M,33.0,1992,Rowing,Silver
"Desmond ""Des"" Abbott",M,21.0,2008,Hockey,Bronze
Jeremy Abbott,M,28.0,2014,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,2008,Softball,Silver
Nia Nicole Abdallah,F,20.0,2004,Taekwondo,Silver
Saeid Morad Abdevali,M,26.0,2016,Wrestling,Bronze
Reema Abdo,F,21.0,1984,Swimming,Bronze
Lala Abdul Rashid,M,38.0,1960,Hockey,Gold
Muhammad Abdul Rashid,M,23.0,1964,Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,M,26.0,1972,Wrestling,Gold
Mukhammad Kadyr Abdullayev,M,26.0,2000,Boxing,Gold
Namiq Yadulla Abdullayev,M,25.0,1996,Wrestling,Silver
Namiq Yadulla Abdullayev,M,29.0,2000,Wrestling,Gold
Julius Shareef Abdur-Rahim,M,23.0,2000,Basketball,Gold
Yusup Abdusalomov,M,30.0,2008,Wrestling,Silver
Andrey Khakimovich Abduvaliyev,M,26.0,1992,Athletics,Gold
Masashi Abe,M,28.0,1994,Nordic Combined,Gold
Addis Abebe,M,21.0,1992,Athletics,Bronze
Clarence John Abel,M,23.0,1924,Ice Hockey,Silver
Irene Abel,F,19.0,1972,Gymnastics,Silver
Jennifer Abel,F,20.0,2012,Diving,Bronze
Gezahgne Abera,M,22.0,2000,Athletics,Gold
Nils Georg berg,M,19.0,1912,Athletics,Bronze
Nils Georg berg,M,19.0,1912,Athletics,Silver
Michael Brent Abernathy,M,22.0,2000,Baseball,Gold
Elvan Abeylegesse,F,25.0,2008,Athletics,Silver
Ismail Abilov (-Nizamolu),M,29.0,1980,Wrestling,Gold
"Edgar Allen ""Ed"" Ablowich",M,19.0,1932,Athletics,Gold
Denis Mikhaylovich Ablyazin,M,19.0,2012,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,2012,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,2016,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,2016,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,2016,Gymnastics,Bronze
Viktor Andreyevich Aboimov,M,22.0,1972,Swimming,Silver
Viktor Andreyevich Aboimov,M,22.0,1972,Swimming,Bronze
"Matthew ""Matt"" Abood",M,30.0,2016,Swimming,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,2012,Fencing,Silver
Attila brahm,M,21.0,1988,Canoeing,Bronze
Attila brahm,M,21.0,1988,Canoeing,Gold
Attila brahm,M,25.0,1992,Canoeing,Silver
Gary Abraham,M,21.0,1980,Swimming,Bronze
Ara Abrahamian,M,29.0,2004,Wrestling,Silver
Harold Maurice Abrahams,M,24.0,1924,Athletics,Gold
Harold Maurice Abrahams,M,24.0,1924,Athletics,Silver
Erik Adolf Efraim Abrahamsson,M,22.0,1920,Athletics,Bronze
Pavel Sergeyevich Abramov,M,25.0,2004,Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,24.0,1964,Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,23.0,2006,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,2016,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,2008,Basketball,Bronze
Saypulla Atavovich Absaidov,M,22.0,1980,Wrestling,Gold
Julien Absalon,M,23.0,2004,Cycling,Gold
Julien Absalon,M,27.0,2008,Cycling,Gold
Ahmad Abughaush,M,20.0,2016,Taekwondo,Gold
Ginko Abukawa-Chiba,F,26.0,1964,Gymnastics,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,25.0,1980,Fencing,Bronze
Magomedgasan Mingazhutdinovich Abushev,M,20.0,1980,Wrestling,Gold
Andreea Roxana Acatrinei,F,16.0,2008,Gymnastics,Bronze
William Accambray,M,24.0,2012,Handball,Gold
Paul Accola,M,20.0,1988,Alpine Skiing,Bronze
Anibl Santiago Acevedo,M,21.0,1992,Boxing,Bronze
Daniel Aceves Villagrn,M,19.0,1984,Wrestling,Silver
Joachim Yaw Acheampong,M,18.0,1992,Football,Bronze
Alfred Achermann,M,24.0,1984,Cycling,Silver
Abdel Hak Achik,M,29.0,1988,Boxing,Bronze
Mohamed Abdelhak Achik,M,27.0,1992,Boxing,Bronze
Rita Nikolayevna Achkina,F,30.0,1968,Cross Country Skiing,Bronze
Chantal Achterberg,F,27.0,2012,Rowing,Bronze
Chantal Achterberg,F,31.0,2016,Rowing,Silver
Paul Douglas Ackerley,M,27.0,1976,Hockey,Gold
Ronny Ackermann,M,24.0,2002,Nordic Combined,Silver
Ronny Ackermann,M,24.0,2002,Nordic Combined,Silver
Ronny Ackermann,M,28.0,2006,Nordic Combined,Silver
Donat Acklin,M,26.0,1992,Bobsleigh,Gold
Donat Acklin,M,26.0,1992,Bobsleigh,Bronze
Donat Acklin,M,28.0,1994,Bobsleigh,Gold
Donat Acklin,M,28.0,1994,Bobsleigh,Silver
Guido Acklin,M,24.0,1994,Bobsleigh,Silver
Lautaro Germn Acosta,M,20.0,2008,Football,Gold
Osmay Acosta Duarte,M,23.0,2008,Boxing,Bronze
Kazimierz Piotr Adach,M,23.0,1980,Boxing,Bronze
Ji Adam,M,25.0,1976,Modern Pentathlon,Silver
"Michael B. ""Mike"" Adam",M,24.0,2006,Curling,Gold
Dariusz Adamczuk,M,22.0,1992,Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,1912,Athletics,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,1912,Athletics,Bronze
Adrian Neil Adams,M,21.0,1980,Judo,Silver
Adrian Neil Adams,M,25.0,1984,Judo,Silver
Nicola Virginia Adams,F,29.0,2012,Boxing,Gold
Nicola Virginia Adams,F,33.0,2016,Boxing,Gold
Platt Adams,M,27.0,1912,Athletics,Gold
Platt Adams,M,27.0,1912,Athletics,Silver
Rachael Alexis Adams,F,26.0,2016,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,2014,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,2008,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,2012,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,2016,Athletics,Silver
Filip Kamil Adamski,M,29.0,2012,Rowing,Gold
Jerzy Adamski,M,23.0,1960,Boxing,Silver
Simon Addo,M,17.0,1992,Football,Bronze
Olubayo Adefemi,M,22.0,2008,Football,Silver
"Ayodele ""Dele"" Adeleye",M,19.0,2008,Football,Silver
Ademir Roque Kaefer,M,24.0,1984,Football,Silver
Ademir Roque Kaefer,M,28.0,1988,Football,Silver
Olapade Charles Adeniken,M,22.0,1992,Athletics,Silver
Adenzia Aparecida Ferreira da Silva,F,25.0,2012,Volleyball,Gold
Franck Adisson,M,23.0,1992,Canoeing,Bronze
Franck Adisson,M,26.0,1996,Canoeing,Gold
"Richard ""Richy""  Adjei",M,27.0,2010,Bobsleigh,Silver
Derrick Ralph Adkins,M,26.0,1996,Athletics,Gold
Daniel Adler,M,26.0,1984,Sailing,Silver
Egon Adler,M,23.0,1960,Cycling,Silver
"Rebecca ""Becky"" Adlington",F,19.0,2008,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,19.0,2008,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,2012,Swimming,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,2012,Swimming,Bronze
Dainius Adomaitis,M,26.0,2000,Basketball,Bronze
Nathan Ghar-Jun Adrian,M,19.0,2008,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,2012,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,2012,Swimming,Silver
Nathan Ghar-Jun Adrian,M,23.0,2012,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,2016,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,2016,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,2016,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,2016,Swimming,Gold
Adriana Aparecida dos Santos,F,25.0,1996,Basketball,Silver
Adriana Aparecida dos Santos,F,29.0,2000,Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,2000,Basketball,Bronze
Attila Adrovicz,M,30.0,1996,Canoeing,Silver
Klaus Aeffke,M,24.0,1964,Rowing,Silver
Kseniya Dmitriyevna Afanasyeva,F,20.0,2012,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,2002,Ice Hockey,Bronze
"Olabisi ""Bisi"" Afolabi",F,20.0,1996,Athletics,Silver
Felicia Afrsiloaie (-Jitianu),F,22.0,1976,Rowing,Bronze
Cecil Sebastian Afrika,M,28.0,2016,Rugby Sevens,Bronze
Muhammad Afzal Manna,M,25.0,1964,Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,2016,Rugby Sevens,Bronze
Lavinia Agache (-Carney),F,16.0,1984,Gymnastics,Gold
Lavinia Agache (-Carney),F,16.0,1984,Gymnastics,Bronze
Luca Agamennoni,M,24.0,2004,Rowing,Bronze
Luca Agamennoni,M,27.0,2008,Rowing,Silver
Andre Kirk Agassi,M,26.0,1996,Tennis,Gold
Clarisse Agbegnenou,F,23.0,2016,Judo,Silver
Viktor Ivanovich Ageyev,M,20.0,1956,Water Polo,Bronze
Viktor Ivanovich Ageyev,M,24.0,1960,Water Polo,Silver
Viktor Ivanovich Ageyev,M,28.0,1964,Water Polo,Bronze
Marilyn Agliotti,F,29.0,2008,Hockey,Gold
Marilyn Agliotti,F,33.0,2012,Hockey,Gold
Yannick Agnel,M,20.0,2012,Swimming,Gold
Yannick Agnel,M,20.0,2012,Swimming,Gold
Yannick Agnel,M,20.0,2012,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,2006,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,2010,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,2014,Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,2006,Figure Skating,Silver
Judit goston-Mendelnyi,F,27.0,1964,Fencing,Gold
Sergio Leonel Agero del Castillo,M,20.0,2008,Football,Gold
"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,2000,Volleyball,Gold
Jos Aguilar Pulsn,M,20.0,1980,Boxing,Bronze
Macarena Aguilar Daz,F,27.0,2012,Handball,Bronze
Sandra Aguilar Navarro,F,23.0,2016,Rhythmic Gymnastics,Silver
Jorge Luis Aguilera Ruiz,M,26.0,1992,Athletics,Bronze
Sri Wahyuni Agustiani,F,21.0,2016,Weightlifting,Silver
Robyn Mokihana Ah Mow-Santos,F,32.0,2008,Volleyball,Silver
Kevin Joseph Ahearn,M,23.0,1972,Ice Hockey,Silver
"Timothy Joseph ""Tim"" Ahearne",M,22.0,1908,Athletics,Gold
Bruno Valfrid Ahlberg,M,21.0,1932,Boxing,Bronze
Mats Bertil hlberg,M,32.0,1980,Ice Hockey,Bronze
Annica Gunilla hln,F,27.0,2002,Ice Hockey,Bronze
Thomas Valter hln,M,24.0,1984,Ice Hockey,Bronze
Christian Ahlmann,M,29.0,2004,Equestrianism,Bronze
Christian Ahlmann,M,41.0,2016,Equestrianism,Bronze
Tontowi Ahmad,M,29.0,2016,Badminton,Gold
Arne Per hman,M,23.0,1948,Athletics,Gold
Jrg Ahmann,M,34.0,2000,Beach Volleyball,Bronze
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,1992,Swimming,Gold
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,1992,Swimming,Silver
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,1992,Swimming,Gold
Muhammad Ashfaq Ahmed,M,21.0,1968,Hockey,Gold
Bashir Ahmed,M,25.0,1960,Hockey,Gold
Ishtiaq Ahmed,M,21.0,1984,Hockey,Gold
Manzoor Ahmed,M,24.0,1992,Hockey,Bronze
Mushtaq Ahmed,M,28.0,1984,Hockey,Gold
Mushtaq Ahmed,M,27.0,1960,Hockey,Gold
Riaz Ahmed,M,27.0,1968,Hockey,Gold
Riaz Ahmed,M,30.0,1972,Hockey,Silver
Shahbaz Ahmed,M,23.0,1992,Hockey,Bronze
Janne Petteri Ahonen,M,24.0,2002,Ski Jumping,Silver
Janne Petteri Ahonen,M,28.0,2006,Ski Jumping,Silver
Peter Ahrendt,M,30.0,1964,Sailing,Silver
Brigitte Ahrenholz,F,23.0,1976,Rowing,Gold
"Christian ""Chris"" Ahrens",M,28.0,2004,Rowing,Gold
Marlene Ahrens Ostertag (-Ebensperger),F,23.0,1956,Athletics,Silver
Thomas Ahrens,M,16.0,1964,Rowing,Silver
Matteo Aicardi,M,26.0,2012,Water Polo,Silver
Matteo Aicardi,M,30.0,2016,Water Polo,Bronze
Mara Magdalena Aicega Amicarelli,F,26.0,2000,Hockey,Silver
Mara Magdalena Aicega Amicarelli,F,30.0,2004,Hockey,Bronze
Mara Magdalena Aicega Amicarelli,F,34.0,2008,Hockey,Bronze
Rosaria Aiello,F,27.0,2016,Water Polo,Silver
Hannes Aigner,M,23.0,2012,Canoeing,Bronze
Nobuyuki Aihara,M,21.0,1956,Gymnastics,Silver
Nobuyuki Aihara,M,21.0,1956,Gymnastics,Silver
Nobuyuki Aihara,M,25.0,1960,Gymnastics,Gold
Nobuyuki Aihara,M,25.0,1960,Gymnastics,Gold
Yutaka Aihara,M,21.0,1992,Gymnastics,Bronze
Ryoji Aikawa,M,28.0,2004,Baseball,Bronze
"Charles Benedict ""Ben"" Ainslie",M,19.0,1996,Sailing,Silver
"Charles Benedict ""Ben"" Ainslie",M,23.0,2000,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,27.0,2004,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,31.0,2008,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,35.0,2012,Sailing,Gold
Kurt Harold Ainsworth,M,22.0,2000,Baseball,Gold
Robin Allingham Aisher,M,34.0,1968,Sailing,Bronze
Brett Aitken,M,21.0,1992,Cycling,Silver
Brett Aitken,M,25.0,1996,Cycling,Bronze
Brett Aitken,M,29.0,2000,Cycling,Gold
Artur Surenovych Aivazian,M,35.0,2008,Shooting,Gold
Eirini Andili,F,17.0,2000,Rhythmic Gymnastics,Bronze
"Oluwafemi ""Junior"" Ajayi",M,20.0,2016,Football,Bronze
Omar Ajete Iglesias,M,27.0,1992,Baseball,Gold
Omar Ajete Iglesias,M,31.0,1996,Baseball,Gold
Omar Ajete Iglesias,M,35.0,2000,Baseball,Silver
"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,2008,Football,Silver
Mobolade Abimbola Ajomale,M,20.0,2016,Athletics,Bronze
Chioma Ajunwa (-Opara),F,24.0,1996,Athletics,Gold
Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,1984,Athletics,Silver
Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,1992,Athletics,Bronze
Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,1992,Athletics,Bronze
Kosei Akaishi,M,19.0,1984,Wrestling,Silver
Kosei Akaishi,M,27.0,1992,Wrestling,Bronze
Yuichi Akasaka,M,24.0,1992,Short Track Speed Skating,Bronze
Vehbi Akda,M,23.0,1972,Wrestling,Silver
Michelle Anne Akers,F,30.0,1996,Football,Gold
Taha Akgl,M,25.0,2016,Wrestling,Gold
Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18.0,1980,Volleyball,Gold
Albina Khamitovna Akhatova,F,21.0,1998,Biathlon,Silver
Albina Khamitovna Akhatova,F,25.0,2002,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,2006,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,2006,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,2006,Biathlon,Gold
Murodzhon Kakharovich Akhmadaliyev,M,21.0,2016,Boxing,Bronze
Artur Kamilevich Akhmatkhuzin,M,28.0,2016,Fencing,Gold
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,2008,Wrestling,Silver
Lyutvi Dzhiber Akhmedov,M,34.0,1964,Wrestling,Silver
Leyla Begnyazovna Akhmerova,F,23.0,1980,Hockey,Bronze
Igor Vladimirovich Akhremchik,M,26.0,1960,Rowing,Bronze
Gulraiz Akhtar,M,25.0,1968,Hockey,Gold
Naeem Akhtar,M,23.0,1984,Hockey,Gold
John Akii-Bua,M,22.0,1972,Athletics,Gold
Anatoly Ivanovich Akimov,M,24.0,1972,Water Polo,Gold
Vladimir Ivanovich Akimov,M,27.0,1980,Water Polo,Gold
Morolake Akinosun,F,22.0,2016,Athletics,Gold
Foluke Antinuke Akinradewo,F,24.0,2012,Volleyball,Silver
Foluke Antinuke Akinradewo,F,28.0,2016,Volleyball,Bronze
Khadzhimurat Magomedovich Akkayev,M,19.0,2004,Weightlifting,Silver
Khadzhimurat Magomedovich Akkayev,M,23.0,2008,Weightlifting,Bronze
Marina Dazmirovna Akobiya,F,25.0,2000,Water Polo,Bronze
Daniel Akpeyi,M,30.0,2016,Football,Bronze
Monica Aksamit,F,26.0,2016,Fencing,Bronze
Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,1976,Athletics,Bronze
Aleksandr Timofeyevich Aksinin,M,21.0,1976,Athletics,Bronze
Aleksandr Timofeyevich Aksinin,M,25.0,1980,Athletics,Gold
Nikolay Aleksandrovich Aksyonov,M,26.0,1996,Rowing,Bronze
Irina Anatolyevna Aksyonova,F,17.0,1980,Swimming,Bronze
Vladyslav Ivanovych Akymenko,M,23.0,1976,Sailing,Silver
Naser Al Shami,M,22.0,2004,Boxing,Bronze
Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,2012,Shooting,Bronze
Fehaid Al-Deehani,M,33.0,2000,Shooting,Bronze
Fehaid Al-Deehani,M,45.0,2012,Shooting,Bronze
Fehaid Al-Deehani,M,49.0,2016,Shooting,Gold
Ramzy Al-Duhami,M,40.0,2012,Equestrianism,Bronze
Khaled Al-Eid,M,31.0,2000,Equestrianism,Bronze
Abdul Rashid Al-Hasan,M,25.0,1984,Hockey,Gold
Ahmed bin Hasher Al-Maktoum,M,40.0,2004,Shooting,Gold
Abdullah Al-Rashidi,M,52.0,2016,Shooting,Bronze
Prince Abdullah Bin Moteb Al-Saud,M,27.0,2012,Equestrianism,Bronze
Hadi Soua'an Al-Somaily Jaadan,M,23.0,2000,Athletics,Silver
Marina Alabau Neira,F,26.0,2012,Sailing,Gold
Armenak Alachachyan,M,33.0,1964,Basketball,Silver
Arsen Shakhlamazovich Alakhverdiyev,M,23.0,1972,Wrestling,Silver
Noor Alam,M,26.0,1956,Hockey,Silver
Noor Alam,M,30.0,1960,Hockey,Gold
Vladan Alanovi,M,25.0,1992,Basketball,Silver
Mika Antero Alatalo,M,22.0,1994,Ice Hockey,Bronze
Toimi Johannes Alatalo,M,30.0,1960,Cross Country Skiing,Gold
Fabio Albarelli,M,25.0,1968,Sailing,Bronze
Marco Albarello,M,31.0,1992,Cross Country Skiing,Silver
Marco Albarello,M,31.0,1992,Cross Country Skiing,Silver
Marco Albarello,M,33.0,1994,Cross Country Skiing,Bronze
