Year,Ceremony,Award,Name,Film
1927/1928,1,Actor,Emil Jannings,The Last Command
1927/1928,1,Actress,Janet Gaynor,7th Heaven
1927/1928,1,Art Direction,William Cameron Menzies,The Dove; Tempest
1927/1928,1,Cinematography,Charles Rosher,Sunrise
1927/1928,1,Cinematography,Karl Struss,Sunrise
1927/1928,1,Directing (Comedy Picture),Lewis Milestone,Two Arabian Knights
1927/1928,1,Directing (Dramatic Picture),Frank Borzage,7th Heaven
1927/1928,1,Engineering Effects,Roy Pomeroy,Wings
1927/1928,1,Outstanding Picture,Paramount Famous Lasky,Wings
1927/1928,1,Unique and Artistic Picture,Fox,Sunrise
1927/1928,1,Writing (Adaptation),Benjamin Glazer,7th Heaven
1927/1928,1,Writing (Original Story),Ben Hecht,Underworld
1927/1928,1,Special Award,Warner Brothers,The Jazz Singer
1927/1928,1,Special Award,Charles Chaplin,The Circus
1928/1929,2,Actor,Warner Baxter,In Old Arizona
1928/1929,2,Actress,Mary Pickford,Coquette
1928/1929,2,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey
1928/1929,2,Cinematography,Clyde De Vinna,White Shadows in the South Seas
1928/1929,2,Directing,Frank Lloyd,The Divine Lady
1928/1929,2,Outstanding Picture,Metro-Goldwyn-Mayer,The Broadway Melody
1928/1929,2,Writing,Hans Kraly,The Patriot
1929/1930,3,Actor,George Arliss,Disraeli
1929/1930,3,Actress,Norma Shearer,The Divorcee
1929/1930,3,Art Direction,King of Jazz,Herman Rosse
1929/1930,3,Cinematography,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer"
1929/1930,3,Directing,Lewis Milestone,All Quiet on the Western Front
1929/1930,3,Outstanding Production,All Quiet on the Western Front,Universal
1929/1930,3,Sound Recording,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/1930,3,Writing,The Big House,Frances Marion
1930/1931,4,Actor,Lionel Barrymore,A Free Soul
1930/1931,4,Actress,Marie Dressler,Min and Bill
1930/1931,4,Art Direction,Cimarron,Max Rée
1930/1931,4,Cinematography,Tabu,Floyd Crosby
1930/1931,4,Directing,Skippy,Norman Taurog
1930/1931,4,Outstanding Production,Cimarron,RKO Radio
1930/1931,4,Writing (Adaptation),Cimarron,Howard Estabrook
1930/1931,4,Writing (Original Story),The Dawn Patrol,John Monk Saunders
1931/1932,5,Actor,Wallace Beery,The Champ
1931/1932,5,Actor,Fredric March,Dr. Jekyll and Mr. Hyde
1931/1932,5,Actress,Helen Hayes,The Sin of Madelon Claudet
1931/1932,5,Art Direction,Transatlantic,Gordon Wiles
1931/1932,5,Cinematography,Shanghai Express,Lee Garmes
1931/1932,5,Directing,Bad Girl,Frank Borzage
1931/1932,5,Outstanding Production,Grand Hotel,Metro-Goldwyn-Mayer
