marca,origen,puntuacion,fecha_puntuacion,porcentaje_cacao,pais_empresa,tipo_semilla,pais_semilla
A. Morin,Chuao,4.0,2013,70.0,France,Trinitario,Venezuela
A. Morin,Madagascar,3.0,2013,70.0,France,Criollo,Madagascar
Alain Ducasse,Chuao,2.5,2013,75.0,France,Trinitario,Venezuela
Alain Ducasse,Madagascar,3.0,2014,75.0,France,Trinitario,Madagascar
Alain Ducasse,Vietnam,2.75,2014,75.0,France,Trinitario,Vietnam
Amano,Chuao,3.0,2010,70.0,U.S.A.,Trinitario,Venezuela
Amano,Madagascar,3.5,2007,70.0,U.S.A.,Trinitario,Madagascar
Amano,Ocumare,3.75,2007,70.0,U.S.A.,Criollo,Venezuela
Ambrosia,Belize,3.0,2015,64.0,Canada,Trinitario,Belize
Ambrosia,Madagascar,3.25,2015,66.0,Canada,Trinitario,Madagascar
Amedei,Chuao,5.0,2007,70.0,Italy,Trinitario,Venezuela
Amedei,Grenada,3.5,2007,70.0,Italy,Trinitario,Grenada
Amedei,Jamaica,3.0,2007,70.0,Italy,Trinitario,Jamaica
Amedei,Trinidad,3.5,2007,70.0,Italy,Trinitario,Trinidad
Ara,Madagascar,3.0,2014,75.0,France,Trinitario,Madagascar
Arete,Maya Mountain,3.75,2015,70.0,U.S.A.,Trinitario,Belize
Arete,Tien Giang,3.5,2016,73.0,U.S.A.,Trinitario,Vietnam
Artisan du Chocolat,Jamaica,3.75,2010,72.0,U.K.,Trinitario,Jamaica
Artisan du Chocolat,Peru,3.0,2009,75.0,U.K.,Criollo,Peru
Bahen & Co.,Sambirano,3.0,2012,70.0,Australia,Trinitario,Madagascar
Bar Au Chocolat,Sambirano,3.75,2012,70.0,U.S.A.,Trinitario,Madagascar
Benoit Nihant,Chuao,3.5,2013,74.0,Belgium,Criollo,Venezuela
Beschle (Felchlin),Madagascar,3.0,2011,64.0,Switzerland,Trinitario,Madagascar
Bisou,Belize,3.25,2015,86.0,U.S.A.,Trinitario,Belize
Bittersweet Origins,Ghana,3.5,2012,72.0,U.S.A.,Forastero,Ghana
Bittersweet Origins,Sambirano,3.0,2008,71.0,U.S.A.,Trinitario,Madagascar
Bittersweet Origins,Sambirano,3.5,2009,65.0,U.S.A.,Trinitario,Madagascar
Bittersweet Origins,Sambirano,3.25,2009,75.0,U.S.A.,Trinitario,Madagascar
Black Mountain,Carenero Superior,2.75,2008,70.0,U.S.A.,Trinitario,Venezuela
Blue Bandana,Madagascar,3.75,2012,70.0,U.S.A.,Trinitario,Madagascar
Bonnat,Chuao,4.0,2006,75.0,France,Trinitario,Venezuela
Bonnat,Madagascar,4.0,2006,75.0,France,Trinitario,Madagascar
Bowler Man,Maya Mountain,2.75,2014,70.0,U.S.A.,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,4.0,2014,70.0,U.S.A.,Trinitario,Venezuela
Brasstown aka It's Chocolate,Ghana,3.5,2013,75.0,U.S.A.,Forastero,Ghana
Brasstown aka It's Chocolate,Maya Mountain,3.75,2014,70.0,U.S.A.,Trinitario,Belize
Brazen,Maya Mountain,3.25,2015,80.0,U.S.A.,Trinitario,Belize
Breeze Mill,Jamaica,3.0,2013,70.0,U.S.A.,Trinitario,Jamaica
Bright,Gran Couva,2.75,2014,68.0,Australia,Trinitario,Trinidad
Burnt Fork Bend,Belize,3.25,2014,72.0,U.S.A.,Trinitario,Belize
Burnt Fork Bend,Trinidad,3.25,2014,72.0,U.S.A.,Trinitario,Trinidad
C-Amaro,Trinidad,2.5,2011,70.0,Italy,Trinitario,Trinidad
Cacao Atlanta,Tumbes,2.5,2014,75.0,U.S.A.,Criollo,Peru
Cao,Porcelana,2.5,2016,75.0,U.S.A.,Criollo,Venezuela
