FAMILIA,GRUPO,ARTÍCULO,NOMBRE,IMPORTE
I. ATENCIÓN PRIMARIA,I.1 CONSULTA MÉDICA,I.1.1.1,CONSULTA MÉDICA EN CENTROS SANITARIOS: PRIMERA CONSULTA,43.50 
I. ATENCIÓN PRIMARIA,I.1 CONSULTA MÉDICA,I.1.1.2,CONSULTA MÉDICA EN CENTROS SANITARIOS: CONSULTAS SUCESIVAS,17.84 
I. ATENCIÓN PRIMARIA,I.1 CONSULTA MÉDICA,I.1.2.1,CONSULTA MÉDICA A DOMICILIO: PRIMERA CONSULTA,60.03 
I. ATENCIÓN PRIMARIA,I.1 CONSULTA MÉDICA,I.1.2.2,CONSULTA MÉDICA A DOMICILIO: CONSULTAS SUCESIVAS,37.41 
I. ATENCIÓN PRIMARIA,I.2 CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA,I.2.1.1,CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA EN CENTROS SANITARIOS: PRIMERA CONSULTA,51.77 
I. ATENCIÓN PRIMARIA,I.2 CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA,I.2.1.2,CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA EN CENTROS SANITARIOS: CONSULTAS SUCESIVAS,22.75 
I. ATENCIÓN PRIMARIA,I.2 CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA,I.2.2.1,CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA A DOMICILIO: PRIMERA CONSULTA,76.13 
I. ATENCIÓN PRIMARIA,I.2 CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA,I.2.2.2,CONSULTA MÉDICA CON CUIDADOS DE ENFERMERÍA A DOMICILIO: CONSULTAS SUCESIVAS,58.73 
I. ATENCIÓN PRIMARIA,I.3 CONSULTA DE ENFERMERÍA (SIN INTERVENCIÓN MÉDICA),I.3.1,CONSULTA DE ENFERMERÍA (SIN INTERVENCIÓN MÉDICA): EN CENTRO SANITARIO,20.88 
I. ATENCIÓN PRIMARIA,I.3 CONSULTA DE ENFERMERÍA (SIN INTERVENCIÓN MÉDICA),I.3.2,CONSULTA DE ENFERMERÍA (SIN INTERVENCIÓN MÉDICA): A DOMICILIO,29.15 
I. ATENCIÓN PRIMARIA,I.4 CIRUGÍA MENOR AMBULATORIA,I.4.8.20,CIRUGÍA MENOR AMB.: ELIMINACION DE LESION DE PARPADO. N. E. O. M.,353.44 
