region,fecha,casos,omicron
East Midlands,01/11/2021,874,False
East Midlands,02/11/2021,724,False
East Midlands,02/11/2021,1,True
East Midlands,03/11/2021,757,False
East Midlands,04/11/2021,598,False
East Midlands,05/11/2021,567,False
East Midlands,05/11/2021,1,True
East Midlands,06/11/2021,975,False
East Midlands,07/11/2021,907,False
East Midlands,08/11/2021,1578,False
East Midlands,08/11/2021,4,True
East Midlands,09/11/2021,1526,False
East Midlands,10/11/2021,1524,False
East Midlands,10/11/2021,4,True
East Midlands,11/11/2021,1531,False
East Midlands,11/11/2021,1,True
East Midlands,12/11/2021,1663,False
East Midlands,12/11/2021,1,True
East Midlands,13/11/2021,1207,False
East Midlands,14/11/2021,1233,False
East Midlands,14/11/2021,2,True
East Midlands,15/11/2021,2374,False
East Midlands,15/11/2021,4,True
East Midlands,16/11/2021,2031,False
East Midlands,17/11/2021,2134,False
East Midlands,17/11/2021,3,True
East Midlands,18/11/2021,2027,False
East Midlands,18/11/2021,2,True
East Midlands,19/11/2021,2105,False
East Midlands,19/11/2021,5,True
East Midlands,20/11/2021,1958,False
East Midlands,21/11/2021,2057,False
East Midlands,21/11/2021,6,True
East Midlands,22/11/2021,2772,False
East Midlands,22/11/2021,1,True
East Midlands,23/11/2021,2733,False
East Midlands,23/11/2021,4,True
East Midlands,24/11/2021,1895,False
East Midlands,24/11/2021,4,True
East Midlands,25/11/2021,2078,False
East Midlands,25/11/2021,3,True
East Midlands,26/11/2021,1292,False
East Midlands,26/11/2021,6,True
East Midlands,27/11/2021,1039,False
East Midlands,27/11/2021,4,True
East Midlands,28/11/2021,1141,False
East Midlands,28/11/2021,3,True
East Midlands,29/11/2021,1933,False
East Midlands,29/11/2021,15,True
East Midlands,30/11/2021,1637,False
East Midlands,30/11/2021,10,True
East Midlands,01/12/2021,1588,False
East Midlands,01/12/2021,9,True
East Midlands,02/12/2021,1215,False
East Midlands,02/12/2021,21,True
East Midlands,03/12/2021,1083,False
East Midlands,03/12/2021,44,True
East Midlands,04/12/2021,1890,False
East Midlands,04/12/2021,24,True
East Midlands,05/12/2021,1778,False
East Midlands,05/12/2021,15,True
East Midlands,06/12/2021,1385,False
East Midlands,06/12/2021,55,True
East Midlands,07/12/2021,2091,False
East Midlands,07/12/2021,140,True
East Midlands,08/12/2021,1361,False
East Midlands,08/12/2021,102,True
East Midlands,09/12/2021,2182,False
East Midlands,09/12/2021,257,True
East Midlands,10/12/2021,2140,False
East Midlands,10/12/2021,360,True
East Midlands,11/12/2021,1807,False
East Midlands,11/12/2021,396,True
East Midlands,12/12/2021,1034,False
East Midlands,12/12/2021,389,True
East Midlands,13/12/2021,1874,False
East Midlands,13/12/2021,1158,True
East of England,01/11/2021,1299,False
East of England,02/11/2021,1173,False
East of England,02/11/2021,2,True
East of England,03/11/2021,1557,False
East of England,03/11/2021,1,True
East of England,04/11/2021,1102,False
East of England,04/11/2021,2,True
East of England,05/11/2021,1009,False
East of England,05/11/2021,5,True
East of England,06/11/2021,1096,False
East of England,07/11/2021,1208,False
East of England,08/11/2021,1877,False
East of England,09/11/2021,2042,False
East of England,09/11/2021,1,True
East of England,10/11/2021,1945,False
East of England,10/11/2021,2,True
East of England,11/11/2021,2032,False
East of England,12/11/2021,1820,False
East of England,13/11/2021,1733,False
East of England,13/11/2021,1,True
East of England,14/11/2021,1676,False
