LTLA_name,LTLA_code,specimen_date,n,percent,sgtf,total,conf_low,conf_high
Ashford,E07000105,22/11/2021,104,100,Cases with confirmed S-gene,104,95.5607903,100
Ashford,E07000105,29/11/2021,104,100,Cases with confirmed S-gene,104,95.5607903,100
Ashford,E07000105,30/11/2021,109,100,Cases with confirmed S-gene,109,95.75741217,100
Ashford,E07000105,01/12/2021,109,100,Cases with confirmed S-gene,109,95.75741217,100
Ashford,E07000105,03/12/2021,116,98.31,Cases with confirmed S-gene,118,93.40236525,99.70588479
Ashford,E07000105,03/12/2021,2,1.69,Cases with confirmed SGTF,118,0.29411521,6.597634749
Ashford,E07000105,09/12/2021,103,99.04,Cases with confirmed S-gene,104,93.98979364,99.94978711
Ashford,E07000105,09/12/2021,1,0.96,Cases with confirmed SGTF,104,0.050212894,6.010206362
Ashford,E07000105,10/12/2021,100,90.09,Cases with confirmed S-gene,111,82.58453416,94.70603081
Ashford,E07000105,10/12/2021,11,9.91,Cases with confirmed SGTF,111,5.293969192,17.41546584
Barking and Dagenham,E09000002,10/12/2021,76,50.67,Cases with confirmed S-gene,150,42.42419314,58.87447684
Barking and Dagenham,E09000002,10/12/2021,74,49.33,Cases with confirmed SGTF,150,41.12552316,57.57580686
Barking and Dagenham,E09000002,12/12/2021,41,35.96,Cases with confirmed S-gene,114,27.34423792,45.54538207
Barking and Dagenham,E09000002,12/12/2021,73,64.04,Cases with confirmed SGTF,114,54.45461793,72.65576208
Barnet,E09000003,29/11/2021,133,100,Cases with confirmed S-gene,133,96.50125488,100
Barnet,E09000003,30/11/2021,101,99.02,Cases with confirmed S-gene,102,93.87647518,99.94880213
Barnet,E09000003,30/11/2021,1,0.98,Cases with confirmed SGTF,102,0.05119787,6.123524822
Barnet,E09000003,04/12/2021,98,97.03,Cases with confirmed S-gene,101,90.93543412,99.22975085
Barnet,E09000003,04/12/2021,3,2.97,Cases with confirmed SGTF,101,0.770249152,9.064565884
Barnet,E09000003,06/12/2021,107,92.24,Cases with confirmed S-gene,116,85.38114792,96.16647269
Barnet,E09000003,06/12/2021,9,7.76,Cases with confirmed SGTF,116,3.833527314,14.61885208
Barnet,E09000003,08/12/2021,89,71.77,Cases with confirmed S-gene,124,62.86685555,79.30759347
Barnet,E09000003,08/12/2021,35,28.23,Cases with confirmed SGTF,124,20.69240653,37.13314445
Barnet,E09000003,09/12/2021,127,68.28,Cases with confirmed S-gene,186,61.00126463,74.78871148
Barnet,E09000003,09/12/2021,59,31.72,Cases with confirmed SGTF,186,25.21128852,38.99873537
Barnet,E09000003,10/12/2021,121,67.6,Cases with confirmed S-gene,179,60.14609807,74.2802174
Barnet,E09000003,10/12/2021,58,32.4,Cases with confirmed SGTF,179,25.7197826,39.85390193
Barnet,E09000003,12/12/2021,65,55.56,Cases with confirmed S-gene,117,46.09592853,64.6454754
Barnet,E09000003,12/12/2021,52,44.44,Cases with confirmed SGTF,117,35.3545246,53.90407147
Barnet,E09000003,13/12/2021,53,31.93,Cases with confirmed S-gene,166,25.03622137,39.67098401
Barnet,E09000003,13/12/2021,113,68.07,Cases with confirmed SGTF,166,60.32901599,74.96377863
Barnsley,E08000016,01/11/2021,172,99.42,Cases with confirmed S-gene,173,96.33179665,99.96981912
Barnsley,E08000016,01/11/2021,1,0.58,Cases with confirmed SGTF,173,0.030180881,3.668203348
Barnsley,E08000016,02/11/2021,181,100,Cases with confirmed S-gene,181,97.4095972,100
Barnsley,E08000016,03/11/2021,126,100,Cases with confirmed S-gene,126,96.31269614,100
Barnsley,E08000016,04/11/2021,121,100,Cases with confirmed S-gene,121,96.16506997,100
