experience_level;job_title;salary;employee_residence;remote_ratio;company_location;company_size
MI;Data Scientist;79833;DE;0;DE;L
SE;Machine Learning Scientist;260000;JP;0;JP;S
SE;Big Data Engineer;109024;GB;50;GB;M
MI;Product Data Analyst;20000;HN;0;HN;S
SE;Machine Learning Engineer;150000;US;50;US;L
EN;Data Analyst;72000;US;100;US;L
SE;Lead Data Scientist;190000;US;100;US;S
MI;Data Scientist;35735;HU;50;HU;L
MI;Business Data Analyst;135000;US;100;US;L
SE;Lead Data Engineer;125000;NZ;50;NZ;S
EN;Data Scientist;51321;FR;0;FR;S
MI;Data Scientist;40481;IN;0;IN;L
EN;Data Scientist;39916;FR;0;FR;M
MI;Lead Data Analyst;87000;US;100;US;L
MI;Data Analyst;85000;US;100;US;L
MI;Data Analyst;8000;PK;50;PK;L
EN;Data Engineer;41689;JP;100;JP;S
SE;Big Data Engineer;114047;PL;100;GB;S
EN;Data Science Consultant;5707;IN;50;IN;M
MI;Lead Data Engineer;56000;PT;100;US;M
MI;Machine Learning Engineer;43331;CN;0;CN;M
MI;Product Data Analyst;6072;IN;100;IN;L
SE;Data Engineer;47899;GR;50;GR;L
MI;BI Data Analyst;98000;US;0;US;M
MI;Lead Data Scientist;115000;AE;0;AE;L
EX;Director of Data Science;325000;US;100;US;L
EN;Research Scientist;42000;NL;50;NL;L
SE;Data Engineer;33511;MX;0;MX;S
EN;Business Data Analyst;100000;US;100;US;L
SE;Machine Learning Manager;117104;CA;50;CA;L
MI;Data Engineering Manager;59303;DE;100;DE;S
EN;Big Data Engineer;70000;US;100;US;L
SE;Data Scientist;68428;GR;100;US;L
MI;Research Scientist;450000;US;0;US;M
MI;Data Analyst;46759;FR;50;FR;L
MI;Data Engineer;74130;AT;50;AT;L
MI;Data Science Consultant;103000;US;100;US;L
EN;Machine Learning Engineer;250000;US;50;US;L
EN;Data Analyst;10000;NG;100;NG;S
EN;Machine Learning Engineer;138000;US;100;US;S
MI;Data Scientist;45760;PH;100;US;S
EX;Data Engineering Manager;79833;ES;50;ES;L
MI;Machine Learning Infrastructure Engineer;50180;PT;0;PT;M
MI;Data Engineer;106000;US;100;US;L
MI;Data Engineer;112872;GB;50;GB;L
EN;ML Engineer;15966;DE;100;DE;S
MI;Data Scientist;76958;GB;100;GB;S
SE;Data Engineer;188000;US;100;US;L
MI;Data Scientist;105000;US;100;US;L
MI;Data Engineer;70139;FR;50;FR;L
EN;Data Analyst;6072;IN;0;IN;S
EN;Data Analyst;91000;US;100;US;L
EN;AI Scientist;45896;DK;50;DK;S
EN;Data Engineer;54742;PK;100;DE;L
SE;Computer Vision Engineer;60000;RU;100;US;S
SE;Principal Data Scientist;148261;DE;100;DE;M
MI;Data Scientist;38776;ES;100;ES;M
MI;Data Scientist;118000;US;100;US;M
SE;Data Scientist;120000;US;50;US;L
MI;Data Scientist;138350;US;100;US;M
MI;Data Engineer;110000;US;100;US;L
MI;Data Engineer;130800;ES;100;US;M
EN;Data Scientist;21669;IT;50;IT;S
SE;Data Scientist;412000;US;100;US;L
SE;Machine Learning Engineer;45618;HR;100;HR;S
EN;Data Scientist;62726;DE;50;DE;S
EN;Data Scientist;49268;DE;0;DE;S
SE;Data Science Manager;190200;US;100;US;M
EN;Data Scientist;105000;US;100;US;S
SE;Data Scientist;91237;AT;0;AT;S
MI;Data Scientist;62726;FR;50;LU;S
MI;Data Scientist;42197;FR;50;FR;S
EN;Research Scientist;82528;GB;50;GB;L
EX;BI Data Analyst;150000;IN;100;US;L
EX;Head of Data;235000;US;100;US;L
SE;Data Scientist;53192;FR;50;FR;L
MI;BI Data Analyst;100000;US;100;US;M
MI;3D Computer Vision Researcher;5409;IN;50;IN;M
MI;ML Engineer;270000;US;100;US;L
EN;Data Analyst;80000;US;100;US;M
SE;Data Analytics Engineer;79197;DE;100;DE;L
MI;Data Engineer;140000;US;100;US;L
MI;Applied Data Scientist;54238;GB;50;CA;L
MI;Machine Learning Engineer;47282;ES;100;ES;S
EX;Director of Data Science;153667;IT;100;PL;L
MI;Data Engineer;28476;PL;100;PL;L
EN;Data Analyst;59102;FR;50;FR;M
MI;Data Analytics Engineer;110000;US;100;US;L
SE;Lead Data Analyst;170000;US;100;US;L
SE;Data Analyst;80000;BG;100;US;S
SE;Marketing Data Analyst;88654;GR;100;DK;L
EN;Data Science Consultant;76833;DE;100;DE;S
