year,city,direction,dist,depth,richter
2003,bingol,west,0.1,10.0,0.0
2007,kocaeli,west,0.1,5.2,4.0
1978,manisa,south_west,0.1,0.0,0.0
1997,sivas,south_west,0.1,10.0,0.0
2000,sakarya,south_west,0.1,7.0,0.0
2005,mugla,south_west,0.1,32.8,0.0
2012,van,south_west,0.1,9.4,4.5
1987,balikesir,south_east,0.1,26.0,0.0
2000,kirikkale,south_east,0.1,1.0,0.0
2011,van,south_east,0.1,3.1,4.2
2013,kahramanmaras,south_east,0.1,9.5,3.5
1989,mugla,south,0.1,9.0,0.0
1999,adiyaman,south,0.1,13.0,0.0
1999,duzce,south,0.1,9.0,0.0
1984,antalya,north_west,0.1,15.0,0.0
2011,kutahya,north_west,0.1,7.2,3.9
1971,burdur,north_east,0.1,5.0,0.0
1985,manisa,north_east,0.1,4.0,0.0
1997,erzincan,north_east,0.1,26.0,0.0
2005,hatay,north_east,0.1,22.0,4.1
1966,mus,east,0.1,14.0,4.7
1990,denizli,east,0.1,5.0,0.0
1990,denizli,east,0.1,6.0,0.0
1985,manisa,west,0.2,5.0,0.0
1988,canakkale,west,0.2,14.0,0.0
1999,bolu,west,0.2,4.0,0.0
2006,erzincan,west,0.2,3.3,0.0
1966,mus,south_west,0.2,50.0,4.7
1966,sakarya,south_west,0.2,31.0,4.3
1967,mugla,south_west,0.2,54.0,4.6
1975,manisa,south_west,0.2,9.0,4.2
1977,kutahya,south_west,0.2,0.0,0.0
1984,manisa,south_west,0.2,10.0,0.0
1996,tokat,south_west,0.2,31.0,0.0
1997,hatay,south_west,0.2,18.0,0.0
1999,duzce,south_west,0.2,2.0,0.0
2000,denizli,south_west,0.2,8.0,0.0
2005,van,south_west,0.2,9.0,0.0
2008,sanliurfa,south_west,0.2,9.5,0.0
2008,corum,south_west,0.2,8.5,4.5
2012,balikesir,south_west,0.2,7.2,3.9
2012,canakkale,south_west,0.2,12.0,4.3
1974,burdur,south_east,0.2,34.0,4.0
1974,izmir,south_east,0.2,5.0,0.0
1976,kutahya,south_east,0.2,24.0,4.4
1978,sakarya,south_east,0.2,0.0,0.0
1979,gumushane,south_east,0.2,11.0,0.0
1994,manisa,south_east,0.2,4.0,0.0
1996,mugla,south_east,0.2,5.0,0.0
1996,amasya,south_east,0.2,2.0,0.0
1997,batman,south_east,0.2,0.0,0.0
1999,cankiri,south_east,0.2,1.0,0.0
1999,sakarya,south_east,0.2,11.0,0.0
2001,osmaniye,south_east,0.2,14.0,0.0
2002,manisa,south_east,0.2,8.0,0.0
2007,elazig,south_east,0.2,5.3,0.0
2007,elazig,south_east,0.2,5.0,3.7
2017,canakkale,south_east,0.2,10.8,3.6
1993,canakkale,south,0.2,10.0,0.0
1994,izmir,south,0.2,5.0,0.0
2006,elazig,south,0.2,7.0,3.8
2014,izmir,south,0.2,17.7,4.1
1967,sakarya,north_west,0.2,33.0,4.2
1970,kutahya,north_west,0.2,10.0,4.2
1970,kutahya,north_west,0.2,22.0,4.2
1974,van,north_west,0.2,28.0,4.4
1981,bursa,north_west,0.2,7.0,0.0
1984,erzurum,north_west,0.2,45.0,0.0
1996,bingol,north_west,0.2,22.0,0.0
1999,duzce,north_west,0.2,16.0,0.0
2003,van,north_west,0.2,9.0,0.0
2003,erzurum,north_west,0.2,10.0,0.0
2005,tokat,north_west,0.2,5.0,4.2
2008,erzurum,north_west,0.2,5.0,4.0
2011,van,north_west,0.2,6.0,3.9
2013,balikesir,north_west,0.2,1.7,3.6
2017,canakkale,north_west,0.2,12.4,3.5
1984,bursa,north_east,0.2,5.0,0.0
1988,aydin,north_east,0.2,19.0,3.9
1989,mugla,north_east,0.2,9.0,0.0
1989,mugla,north_east,0.2,10.0,0.0
1989,izmir,north_east,0.2,10.0,0.0
1990,mugla,north_east,0.2,5.0,3.7
1997,zonguldak,north_east,0.2,4.0,0.0
1998,kocaeli,north_east,0.2,16.0,0.0
1999,duzce,north_east,0.2,10.0,0.0
1999,duzce,north_east,0.2,10.0,0.0
1999,sakarya,north_east,0.2,7.0,0.0
2003,karabuk,north_east,0.2,9.0,3.7
2005,samsun,north_east,0.2,10.9,0.0
2011,kutahya,north_east,0.2,4.8,3.8
2011,van,north_east,0.2,5.0,3.5
2011,van,north_east,0.2,5.0,3.7
2012,kahramanmaras,north_east,0.2,3.0,3.6
2017,van,north_east,0.2,2.1,3.3
2006,malatya,north,0.2,7.2,0.0
1997,amasya,east,0.2,3.0,0.0
1949,karabuk,west,0.3,20.0,5.0
1974,tekirdag,west,0.3,5.0,0.0
1984,manisa,west,0.3,10.0,3.7
2004,bursa,west,0.3,8.0,3.5
2007,balikesir,west,0.3,7.7,3.6
1949,sakarya,south_west,0.3,10.0,4.7
1986,kutahya,south_west,0.3,2.0,0.0
1994,manisa,south_west,0.3,8.0,0.0
